Valeurs,Unite_temps,Titre,Ordonnees,Indicateur,SourceGraphique,Sous_indicateur,Nomenclature,Declinaison,Statistique,Zone_geographique,longitude,latitude,Unite_de_compte
3405,2023,Sexist insults recorded by security services,Number of violations,Sexist insults,"SSMSI, statistical database of offences recorded or solved by the police and the gendarmerie",Not specified,Not specified,Not specified,Name,France,1.8883335,46.603354,Infractions
152,2023,Offences for other breaches of integrity,Number of violations,Attacks on probity,"SSMSI, statistical database of offences recorded by the police and the gendarmerie.",Other breaches of integrity,Not specified,Not specified,Name,France,1.8883335,46.603354,Infractions
75,2023,Offenses for favoritism,Number of violations,Attacks on probity,"SSMSI, statistical database of offences recorded by the police and the gendarmerie.",Favoritism,Not specified,Not specified,Name,France,1.8883335,46.603354,Infractions
182,2023,Offences for illegal taking of interests,Number of violations,Attacks on probity,"SSMSI, statistical database of offences recorded by the police and the gendarmerie.",Illegal taking of interests,Not specified,Not specified,Name,France,1.8883335,46.603354,Infractions
158,2023,Offences for embezzlement of public funds,Number of violations,Attacks on probity,"SSMSI, statistical database of offences recorded by the police and the gendarmerie.",Embezzlement of public funds,Not specified,Not specified,Name,France,1.8883335,46.603354,Infractions
262,2023,Infractions pour corruption,Number of violations,Attacks on probity,"SSMSI, statistical database of offences recorded by the police and the gendarmerie.",Corruption,Not specified,Not specified,Name,France,1.8883335,46.603354,Infractions
829,2023,Offences against integrity,Number of violations,Attacks on probity,"SSMSI, statistical database of offences recorded by the police and the gendarmerie.",Ensemble,Not specified,Not specified,Name,France,1.8883335,46.603354,Infractions
29079,2023,Accused of theft from or on vehicles recorded by security services,Name of my cause,Thefts and attempted thefts related to vehicles,"SSMSI, statistical database of those accused of offences solved by the police and the gendarmerie",Thefts in or on vehicles,Not specified,Not specified,Name,France,1.8883335,46.603354,My cause
90952,2023,Non-violent robberies on public transport networks recorded by security services,Number of victims,Thefts and attempted thefts without violence,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",Public transport networks,Not specified,Not specified,Name,France,1.8883335,46.603354,Victims
6430,2023,Violent thefts on public transport networks recorded by security services,Number of victims,Thefts and attempted robberies with violence,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",Public transport networks,Not specified,Not specified,Name,France,1.8883335,46.603354,Victims
7684,2023,Physical violence (assault and battery on persons aged 15 or over) in public transport networks recorded by security services,Number of victims,Physical violence,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",Public transport networks,Not specified,Not specified,Name,France,1.8883335,46.603354,Victims
2407,2023,Sexual violence on public transport networks recorded by security services,Number of victims,Sexual violence,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",Public transport networks,Not specified,Not specified,Name,France,1.8883335,46.603354,Victims
4308,2023,Insults and violence against public authorities in public transport networks recorded by security services,Number of victims,Insults and violence against public officials,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",Public transport networks,Not specified,Not specified,Name,France,1.8883335,46.603354,Victims
531598,2023,Non-violent thefts (all locations outside public transport networks) recorded by security services,Number of victims,Thefts and attempted thefts without violence,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",All places outside public transport,Not specified,Not specified,Name,France,1.8883335,46.603354,Victims
56894,2023,Violent thefts (all locations) recorded by security services,Number of victims,Thefts and attempted robberies with violence,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",All places outside public transport,Not specified,Not specified,Name,France,1.8883335,46.603354,Victims
327206,2023,Physical violence (intentional assault and battery on persons aged 15 or over) in all locations outside transport networks recorded by the security services,Number of victims,Physical violence,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",All places outside public transport,State Index 4001,Not specified,Name,France,1.8883335,46.603354,Victims
92331,2023,Sexual violence in all places recorded by security services,Number of victims,Sexual violence,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",All places outside public transport,State Index 4001,Not specified,Name,France,1.8883335,46.603354,Victims
108815,2023,Insults and violence against public officials (all locations) recorded by security services,Number of victims,Insults and violence against public officials,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",All places outside public transport,State Index 4001,Not specified,Name,France,1.8883335,46.603354,Victims
58069,2023,Non-violent robberies on public transport networks recorded by security services,Number of victims,Thefts and attempted thefts without violence,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",Public transport networks,Not specified,Not specified,Name,Ile-de-France,2.7537863,48.6443057,Victims
4580,2023,Violent thefts on public transport networks recorded by security services,Number of victims,Thefts and attempted robberies with violence,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",Public transport networks,Not specified,Not specified,Name,Ile-de-France,2.7537863,48.6443057,Victims
3401,2023,Physical violence (assault and battery on persons aged 15 or over) in public transport networks recorded by security services,Number of victims,Physical violence,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",Public transport networks,Not specified,Not specified,Name,Ile-de-France,2.7537863,48.6443057,Victims
1093,2023,Sexual violence on public transport networks recorded by security services,Number of victims,Sexual violence,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",Public transport networks,Not specified,Not specified,Name,Ile-de-France,2.7537863,48.6443057,Victims
1776,2023,Insults and violence against public authorities in public transport networks recorded by security services,Number of victims,Insults and violence against public officials,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",Public transport networks,Not specified,Not specified,Name,Ile-de-France,2.7537863,48.6443057,Victims
153108,2023,Non-violent thefts (all locations outside public transport networks) recorded by security services,Number of victims,Thefts and attempted thefts without violence,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",All places outside public transport,Not specified,Not specified,Name,Ile-de-France,2.3887977,48.82416,Victims
19192,2023,Violent thefts (all locations) recorded by security services,Number of victims,Thefts and attempted robberies with violence,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",All places outside public transport,Not specified,Not specified,Name,Ile-de-France,2.7537863,48.6443057,Victims
61986,2023,Physical violence (intentional assault and battery on persons aged 15 or over) in all locations outside transport networks recorded by the security services,Number of victims,Physical violence,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",All places outside public transport,State Index 4001,Not specified,Name,Ile-de-France,2.7537863,48.6443057,Victims
15346,2023,Sexual violence in all places recorded by security services,Number of victims,Sexual violence,"SSMSI, municipal statistical database of delinquency recorded by the police and gendarmerie; Insee, population census",All places outside public transport,State Index 4001,Not specified,Name,Ile-de-France,2.3887977,48.82416,Victims
21495,2023,Insults and violence against public officials (all locations) recorded by security services,Number of victims,Insults and violence against public officials,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",All places outside public transport,State Index 4001,Not specified,Name,Ile-de-France,2.7537863,48.6443057,Victims
143200,2023,Physical violence outside the family recorded by security services,Number of victims,Physical violence,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",All places,Not specified,Outside the family framework,Name,France,1.8883335,46.603354,Victims
83457,2023,Sexual violence outside the family recorded by security services,Number of victims,Sexual violence,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",All places,French nomenclature of offences (NFI),Outside the family framework,Name,France,1.8883335,46.603354,Victims
18200,2023,Domestic physical violence recorded by security services,Number of victims,Physical violence,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",All places,Not specified,Intrafamily,Name,France,1.8883335,46.603354,Victims
20287,2023,Domestic sexual violence recorded by security services,Number of victims,Sexual violence,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",All places,French nomenclature of offences (NFI),Intrafamily,Name,France,1.8883335,46.603354,Victims
173500,2023,Domestic physical violence recorded by security services,Number of victims,Physical violence,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",All places,Not specified,Intrafamily,Name,France,1.8883335,46.603354,Victims
10391,2023,Domestic sexual violence recorded by security services,Number of victims,Sexual violence,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",All places,French nomenclature of offences (NFI),Intrafamily,Name,France,1.8883335,46.603354,Victims
334900,2023,Physical violence recorded by security services,Number of victims,Physical violence,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",All places,Not specified,All physical violence,Name,France,1.8883335,46.603354,Victims
114135,2023,Sexual violence recorded by security services,Number of victims,Sexual violence,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",All places,French nomenclature of offences (NFI),All sexual violence,Name,France,1.8883335,46.603354,Victims
258492,2023,Physical violence (assault and battery on a person aged 15 or over) recorded by the security services,Name of my cause,Physical violence,"SSMSI, statistical database of those accused of offences solved by the police and the gendarmerie",Not specified,State Index 4001,Not specified,Name,France,1.8883335,46.603354,My cause
114100,2023,Sexual violence (total) recorded by security services (Annual data),Number of victims,Sexual violence,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",All places,State Index 4001,Ensemble,Name,France,1.8883335,46.603354,Victims
60476,2023,Sexual violence recorded by security services,Name of my cause,Sexual violence,"SSMSI, statistical database of those accused of offences solved by the police and the gendarmerie",Not specified,State Index 4001,Rape and attempted rape,Name,France,1.8883335,46.603354,My cause
71700,2023,Rapes and attempted rapes recorded by security services,Number of victims,Sexual violence,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",All places,State Index 4001,Other sexual assaults (including sexual harassment),Name,France,1.8883335,46.603354,Victims
42400,2023,Other sexual assaults (including sexual harassment) recorded by security services,Number of victims,Sexual violence,"SSMSI, statistical database of victims recorded by the police and the gendarmerie",All places,State Index 4001,Rape and attempted rape,Name,France,1.8883335,46.603354,Victims
8700,2023,Armed robberies recorded by security services (Annual data),Number of violations,Thefts and attempted robberies with violence,"SSMSI, statistical database of offences recorded or solved by the police and the gendarmerie",Armed robberies,Not specified,Not specified,Name,France,1.8883335,46.603354,Infractions
5043,2023,Accused of armed robberies recorded by security services,Name of my cause,Thefts and attempted robberies with violence,"SSMSI, statistical database of those accused of offences solved by the police and the gendarmerie",Armed robberies,Not specified,Not specified,Name,France,1.8883335,46.603354,My cause
13791,2023,Accused of violent unarmed robberies recorded by security services,Name of my cause,Thefts and attempted robberies with violence,"SSMSI, statistical database of those accused of offences solved by the police and the gendarmerie",Violent robberies without weapons,Not specified,Not specified,Name,France,1.8883335,46.603354,My cause
54300,2023,Violent robberies without weapons recorded by security services (Annual data),Number of violations,Thefts and attempted robberies with violence,"SSMSI, statistical database of offences recorded or solved by the police and the gendarmerie",Violent robberies without weapons,Not specified,Not specified,Name,France,1.8883335,46.603354,Infractions
